id,gw,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,first_name,second_name,web_name
1,1,90,1,0,0,1,0,0,0,0,0,0,1,0.45,0.12,0.57,1.2,65.3,42.1,78.5,18.6,,,1,2,3,8,15,Erling,Haaland,Haaland
1,2,90,2,1,0,0,0,0,0,0,0,0,1,1.23,0.34,1.57,0.8,89.2,56.7,112.3,25.8,,,1,1,2,5,12,Erling,Haaland,Haaland
1,3,75,0,0,1,0,0,0,0,0,0,0,1,0.32,0.08,0.40,0.5,45.6,23.4,56.7,12.6,,,2,3,4,10,18,Erling,Haaland,Haaland
2,1,90,0,1,0,1,0,0,0,0,0,0,1,0.15,0.45,0.60,1.1,34.5,78.9,23.4,13.7,2,3,,3,1,5,12,Kevin,De Bruyne,De Bruyne
2,2,90,1,2,0,0,0,0,0,0,0,0,1,0.67,0.89,1.56,0.6,78.9,112.3,45.6,23.7,1,1,2,2,0,8,15,Kevin,De Bruyne,De Bruyne
2,3,85,0,1,1,0,0,0,0,0,0,0,1,0.23,0.56,0.79,0.4,56.7,89.1,34.5,18.0,2,2,,4,2,6,14,Kevin,De Bruyne,De Bruyne
3,1,90,0,0,1,0,0,0,0,0,0,4,1,0.02,0.01,0.03,0.3,23.4,12.3,8.9,4.5,,,,5,8,12,25,Alisson,Becker,Alisson
3,2,90,0,0,1,0,0,0,0,0,0,6,1,0.01,0.02,0.03,0.5,34.5,15.6,10.2,6.0,,,,3,6,10,19,Alisson,Becker,Alisson
3,3,90,0,0,0,2,0,0,0,0,0,3,1,0.03,0.01,0.04,1.8,28.9,10.1,9.5,4.9,,,,4,5,8,17,Alisson,Becker,Alisson
4,1,90,1,0,0,1,0,0,0,1,0,0,1,0.34,0.08,0.42,1.0,45.6,34.5,56.7,13.7,,,3,4,5,8,14,Mohamed,Salah,Salah
4,2,90,0,2,0,0,0,0,0,0,0,0,1,0.28,0.67,0.95,0.7,56.7,89.2,34.5,18.0,1,2,1,2,1,6,10,Mohamed,Salah,Salah
4,3,90,2,1,0,1,0,0,0,0,0,0,1,0.89,0.45,1.34,1.2,98.7,78.9,89.2,26.7,1,1,1,1,0,4,8,Mohamed,Salah,Salah
5,1,90,0,0,1,0,0,0,0,0,0,0,1,0.05,0.02,0.07,0.4,34.5,23.4,12.3,7.0,,,,6,10,15,31,Virgil,van Dijk,van Dijk
5,2,90,0,0,1,0,0,0,0,0,0,0,1,0.03,0.04,0.07,0.3,45.6,28.9,15.6,9.0,,,,5,12,18,35,Virgil,van Dijk,van Dijk
5,3,90,1,0,0,1,0,0,0,0,0,0,1,0.45,0.05,0.50,1.1,67.8,34.5,45.6,14.8,,,,3,8,12,23,Virgil,van Dijk,van Dijk
6,1,90,0,1,0,1,0,0,0,0,0,0,1,0.12,0.34,0.46,1.0,34.5,56.7,23.4,11.5,3,4,,2,3,4,10,Bruno,Fernandes,Bruno F.
6,2,90,1,0,0,0,0,0,0,1,0,0,1,0.56,0.23,0.79,0.5,67.8,45.6,56.7,17.0,2,2,1,3,2,5,12,Bruno,Fernandes,Bruno F.
6,3,90,0,1,1,0,0,0,0,0,0,0,1,0.18,0.45,0.63,0.4,45.6,67.8,34.5,14.8,3,3,,2,1,6,14,Bruno,Fernandes,Bruno F.
7,1,90,1,0,0,1,0,0,0,0,0,0,1,0.56,0.05,0.61,1.1,56.7,23.4,67.8,14.8,,,2,3,4,7,12,Harry,Kane,Kane
7,2,90,0,1,0,0,0,0,0,0,0,0,1,0.34,0.28,0.62,0.6,45.6,45.6,45.6,13.7,,,3,2,3,9,15,Harry,Kane,Kane
7,3,90,2,0,0,1,0,0,0,0,0,0,1,0.98,0.12,1.10,1.3,89.2,34.5,98.7,22.2,,,1,1,2,6,10,Harry,Kane,Kane
8,1,90,0,0,1,0,0,0,0,0,0,0,1,0.02,0.01,0.03,0.3,23.4,15.6,10.2,4.9,,,,7,12,20,39,William,Saliba,Saliba
8,2,90,0,0,1,0,0,0,0,0,0,0,1,0.01,0.02,0.03,0.4,28.9,18.9,12.3,6.0,,,,6,10,18,34,William,Saliba,Saliba
8,3,90,0,1,0,1,0,0,0,0,0,0,1,0.08,0.23,0.31,1.0,34.5,45.6,23.4,10.4,,,,4,8,14,26,William,Saliba,Saliba
9,1,90,0,0,0,1,0,0,0,1,0,0,1,0.08,0.12,0.20,1.2,28.9,34.5,18.9,8.2,4,5,,3,4,8,18,Bukayo,Saka,Saka
9,2,90,1,1,0,0,0,0,0,0,0,0,1,0.45,0.56,1.01,0.5,67.8,78.9,56.7,20.3,2,3,,2,2,5,12,Bukayo,Saka,Saka
9,3,90,0,0,1,0,0,0,0,0,0,0,1,0.12,0.23,0.35,0.4,45.6,56.7,34.5,13.7,3,4,,4,3,7,16,Bukayo,Saka,Saka
10,1,90,0,1,0,1,0,0,0,0,0,0,1,0.15,0.45,0.60,1.1,34.5,67.8,28.9,13.1,2,2,,2,1,5,12,Martin,Ødegaard,Ødegaard
10,2,90,1,0,0,0,0,0,0,0,0,0,1,0.56,0.34,0.90,0.6,56.7,56.7,45.6,15.9,2,2,,3,2,6,14,Martin,Ødegaard,Ødegaard
10,3,90,0,2,1,0,0,0,0,0,0,0,1,0.23,0.78,1.01,0.3,67.8,89.2,34.5,19.2,1,1,,2,1,7,15,Martin,Ødegaard,Ødegaard
11,1,90,1,0,0,0,0,0,0,0,0,0,1,0.67,0.08,0.75,0.5,67.8,34.5,78.9,18.1,,,2,2,3,8,14,Son,Heung-min,Son
11,2,90,0,1,0,1,0,0,0,0,0,0,1,0.34,0.45,0.79,1.0,45.6,56.7,45.6,14.8,,,3,3,5,10,16,Son,Heung-min,Son
